freq,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC_HH,HU23	60.92 	65.46 	71.09 	73.50 	76.78 	80.72 	81.34 	85.21 	86.68 	89.03 	90.30 	90.01 
A,PC_HH,HU31	58.61 	65.50 	65.25 	68.69 	74.19 	75.48 	77.97 	81.61 	83.76 	86.26 	86.91 	90.63 
A,PC_HH,HU32	58.64 	62.01 	65.98 	67.81 	72.15 	76.46 	77.10 	82.88 	85.49 	88.04 	88.17 	87.85 
A,PC_HH,HU33	62.53 	62.61 	66.96 	68.28 	71.58 	76.48 	78.34 	82.13 	82.92 	86.72 	87.11 	89.83 
A,PC_HH,IE01	77.18 	78.59 	77.18 	81.75 	83.41 	83.57 	: 	: 	: 	: 	: 	: 
A,PC_HH,IE02	82.57 	83.81 	83.99 	85.98 	88.16 	90.10 	: 	: 	: 	: 	: 	: 
A,PC_HH,IE04	: 	: 	: 	: 	: 	: 	81.95 	85.80 	94.12 	98.62 b	: u	94.98 
A,PC_HH,IE05	: 	: 	: 	: 	: 	: 	88.19 	90.10 	89.49 	97.35 b	: u	91.37 
A,PC_HH,IE06	: 	: 	: 	: 	: 	: 	92.78 	92.79 	92.58 	97.18 b	: u	95.31 
A,PC_HH,IS00	: 	: 	: 	: 	: 	97.86 	99.18 	97.70 	98.48 	98.36 	: 	: 
A,PC_HH,ITC1	61.38 	66.55 	72.53 	75.48 	79.58 	82.12 	85.66 	84.64 	88.39 	90.90 	92.09 	92.65 
A,PC_HH,ITC2	66.58 	68.27 	69.54 	77.01 	77.35 	76.16 	82.03 	86.26 	87.49 	94.08 	88.87 	91.48 
A,PC_HH,ITC3	64.34 	66.24 	70.35 	76.26 	78.62 	84.04 	86.24 	85.90 	89.60 	92.20 	93.69 	92.80 
A,PC_HH,ITC4	68.25 	72.14 	76.58 	78.45 	83.75 	84.48 	87.84 	88.29 	90.10 	92.75 	94.26 	94.59 
A,PC_HH,ITF1	59.38 	69.42 	72.52 	74.54 	79.42 	81.88 	82.80 	85.13 	86.67 	89.41 	89.37 	90.09 
