DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2018,89.42,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2019,92.85,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2020,90.75,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2021,92.79,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2022,96.79,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE21,2023,96.06,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2012,82.09,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2013,83.23,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2014,88.95,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2015,85.06,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2016,88.02,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2017,89.86,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2018,89.46,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2019,92.94,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2020,91.83,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2021,93.09,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2022,96.34,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE22,2023,94.24,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2012,81.18,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2013,82.61,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2014,86.05,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2015,83.10,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2016,87.16,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2017,86.02,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2018,88.24,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2019,89.20,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2020,93.22,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2021,92.75,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2022,94.27,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE23,2023,93.92,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2012,82.73,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2013,82.59,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2014,87.24,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2015,87.58,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2016,87.32,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2017,88.51,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2018,89.99,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2019,93.53,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2020,94.21,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2021,96.83,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2022,94.48,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE24,2023,98.68,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2012,76.50,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2013,78.28,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2014,83.18,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2015,81.67,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2016,83.47,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2017,87.80,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2018,88.00,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2019,90.49,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2020,90.63,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2021,93.95,
